Rank,Country,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,10193964,9165271,240363880,110517058,23.58,1965
2,China,4595249,4525851,32913858,18210007,7.16,655
3,United Kingdom,2898927,2499445,60988844,13948928,21.04,1213
4,Germany,2570206,2394158,49023207,12158563,19.07,1059
5,Japan,2367977,2277777,35480575,9503478,14.98,871
6,France,1826708,1712312,33910955,7292478,18.56,966
7,Canada,1468796,1338700,31052115,5578703,21.14,963
8,Italy,1449301,1335074,25366435,5850838,17.5,839
9,India,1302605,1223521,10839171,3694872,8.32,478
10,Spain,1148258,1060196,18244660,4201659,15.89,723
11,Australia,1111010,996160,20363776,4272355,18.33,795
12,South Korea,914572,887739,10741924,2220618,11.75,536
13,Russian Federation,860847,842674,5947119,1831981,6.91,467
14,Netherlands,816316,745545,20136037,3133734,24.67,835
15,Brazil,749498,715170,7557916,2501838,10.08,461
16,Switzerland,595889,550777,15280692,1969916,25.64,818
17,Taiwan,575296,556749,6885565,1402557,11.97,406
18,Sweden,552343,514919,13028361,1926467,23.59,735
19,Poland,527034,509596,5048906,1282858,9.58,445
20,Turkey,485366,453565,4414662,1039323,9.1,339
21,Belgium,447044,414224,9511708,1276664,21.28,661
22,Iran,388672,377098,2770074,1019641,7.13,234
23,Austria,324683,300008,6183360,793299,19.04,540
24,Denmark,322814,297964,7837142,1076429,24.28,619
25,Israel,320716,297182,6960963,903593,21.7,584
26,Finland,281770,265495,5965336,884184,21.17,533
27,Greece,268515,246941,3961410,602804,14.75,402
28,Czech Republic,265658,256646,2756969,620403,10.38,367
29,Mexico,258077,245164,2849413,568014,11.04,352
30,Norway,254807,231909,4905834,737792,19.25,491
31,Portugal,242513,226822,3290224,610756,13.57,379
32,Singapore,241361,224763,4097146,486934,16.98,454
33,Hong Kong,241145,225890,4385700,529709,18.19,447
34,Malaysia,214883,207498,1299378,341788,6.05,224
35,South Africa,213998,196132,2689207,569883,12.57,361
36,New Zealand,199300,179356,3614606,519049,18.14,428
37,Argentina,174968,165384,2389147,480251,13.65,337
38,Ireland,168071,150618,3002591,330529,17.87,414
39,Hungary,160608,152787,2310388,349965,14.39,363
40,Ukraine,158984,155988,897756,239322,5.65,211
41,Egypt,157835,152954,1331681,262291,8.44,213
42,Romania,147532,143024,810831,188546,5.5,201
43,Thailand,139682,132845,1510067,238251,10.81,269
44,Saudi Arabia,133396,127612,1144870,187175,8.58,241
45,Chile,116283,110779,1525554,286939,13.12,291
46,Pakistan,109760,104759,767057,198885,6.99,197
47,Slovakia,90178,87582,807380,157116,8.95,222
48,Croatia,87037,83516,695289,131838,7.99,221
49,Slovenia,78751,75362,917085,156686,11.65,231
50,Colombia,71966,68319,629134,93289,8.74,216
51,Tunisia,67698,64445,459550,100266,6.79,144
52,Nigeria,67008,63719,432647,89702,6.46,153
53,Bulgaria,64425,62324,631952,93898,9.81,205
54,Serbia,62428,59226,391776,85432,6.28,149
55,Indonesia,54146,51665,380569,50906,7.03,175
56,Algeria,49697,48608,294124,61266,5.92,125
57,Morocco,47329,44578,358395,66849,7.57,151
58,Lithuania,40863,39712,346503,71254,8.48,165
59,United Arab Emirates,37528,34927,299155,31286,7.97,153
60,Venezuela,35778,34327,381824,45129,10.67,181
61,Bangladesh,35538,33820,303079,54116,8.53,154
62,Viet Nam,35445,33937,347394,51341,9.8,167
63,Cuba,33861,32388,245917,43708,7.26,145
64,Belarus,33408,32692,246572,44221,7.38,146
65,Estonia,32244,30635,494326,78588,15.33,215
66,Jordan,31552,30556,259134,31390,8.21,130
67,Kenya,27711,25246,481177,70832,17.36,201
68,Lebanon,23968,21952,248043,23697,10.35,157
69,Philippines,23843,21861,340738,33779,14.29,189
70,Kuwait,20252,19366,197566,21507,9.76,123
71,Cyprus,19931,18049,234462,27128,11.76,151
72,Latvia,18858,18277,155042,22698,8.22,129
73,Iceland,17574,16104,452049,40516,25.72,251
74,Qatar,17512,16313,125113,15521,7.14,105
75,Peru,17096,15581,254779,26504,14.9,179
76,Kazakhstan,15709,15286,54540,10044,3.47,75
77,Ethiopia,15696,14836,160357,33357,10.22,115
78,Uruguay,15428,14591,235388,30044,15.26,150
79,Luxembourg,14828,13624,172167,17788,11.61,136
80,Oman,14804,13733,118547,13787,8.01,105
81,Puerto Rico,14773,14150,300572,17779,20.35,184
82,Iraq,14745,14098,64199,9365,4.35,71
83,Sri Lanka,14509,13345,163200,14661,11.25,135
84,Armenia,14162,13743,164625,28900,11.62,150
85,Ghana,13851,12760,152902,19538,11.04,119
86,Tanzania,13632,12670,215659,32020,15.82,136
87,Georgia,13457,12397,155274,17930,11.54,135
88,Uganda,13279,12166,223109,34082,16.8,145
89,Cameroon,12598,11883,138323,25987,10.98,106
90,Azerbaijan,10886,10636,54777,10397,5.03,76
91,Nepal,10533,9427,111822,13284,10.62,106
92,Ecuador,10486,9865,127477,15270,12.16,126
93,Costa Rica,10248,9611,184108,18130,17.97,152
94,Uzbekistan,9947,9652,56880,10023,5.72,77
95,Macedonia,9575,9148,70164,7821,7.33,91
96,Bosnia and Herzegovina,8212,7831,42256,5255,5.15,71
97,Zimbabwe,8163,7483,116813,12128,14.31,111
98,Senegal,8077,7547,93078,11166,11.52,106
99,Sudan,7043,6677,68132,6882,9.67,78
100,Moldova,6601,6424,58127,9955,8.81,90
101,Macao,6520,6220,44489,4935,6.82,73
102,Syrian Arab Republic,6333,6026,68933,6745,10.88,89
103,Botswana,5852,5225,67191,6333,11.48,89
104,Panama,5712,5369,175231,15566,30.68,162
105,Malawi,5705,5188,100174,12482,17.56,117
106,Trinidad and Tobago,5509,4971,54188,3885,9.84,84
107,Burkina Faso,5426,5184,72768,10440,13.41,91
108,Malta,5337,4694,55154,4399,10.33,93
109,Jamaica,5296,4651,61611,5771,11.63,83
110,C?te d¡¯Ivoire,5271,5032,64967,6205,12.33,99
111,Bahrain,5212,4732,36028,2778,6.91,61
112,Palestine,5133,4821,44032,5222,8.58,69
113,Zambia,4652,4223,74372,7874,15.99,102
114,Libya,4633,4481,27145,1491,5.86,57
115,Benin,4311,4115,47147,7330,10.94,73
116,Bolivia,3939,3730,79603,5898,20.21,103
117,Congo,3779,3509,46754,4271,12.37,81
118,Mongolia,3742,3549,42326,4601,11.31,78
119,Albania,3631,3462,19428,1776,5.35,53
120,Madagascar,3555,3375,48131,7161,13.54,81
121,Yemen,3184,3088,26393,2747,8.29,58
122,Brunei Darussalam,3041,2679,21986,2409,7.23,57
123,Cambodia,2990,2694,47555,5376,15.9,86
124,Fiji,2829,2588,34094,2790,12.05,67
125,Mozambique,2802,2580,51281,4215,18.3,81
126,Mali,2797,2639,45908,4295,16.41,82
127,Montenegro,2791,2678,12364,2445,4.43,40
128,Namibia,2703,2482,36508,3325,13.51,79
129,Guatemala,2582,2369,37322,2339,14.45,78
130,Mauritius,2560,2366,23024,1996,8.99,61
131,Papua New Guinea,2474,2330,40398,3824,16.33,79
132,North Korea,2451,2391,44804,238,18.28,85
133,New Caledonia,2318,2225,45679,5230,19.71,82
134,Gabon,2261,2136,43256,4417,19.13,89
135,Gambia,2207,2054,68914,5439,31.23,107
136,Rwanda,2166,1927,23688,2158,10.94,62
137,Laos,2087,1937,26911,3365,12.89,67
138,Barbados,1864,1557,29900,1380,16.04,71
139,Myanmar,1864,1763,18162,1445,9.74,58
140,Niger,1814,1735,24681,2094,13.61,64
141,Monaco,1766,1608,36736,3753,20.8,85
142,Paraguay,1750,1638,23641,1430,13.51,69
143,Kyrgyzstan,1745,1644,13650,1413,7.82,51
144,Togo,1640,1529,10790,997,6.58,42
145,Guadeloupe,1533,1435,20412,1419,13.32,57
146,Nicaragua,1450,1370,22437,1570,15.47,70
147,French Polynesia,1444,1352,26797,2584,18.56,69
148,Liechtenstein,1437,1326,19191,1548,13.35,64
149,Tajikistan,1380,1337,6177,931,4.48,34
150,El Salvador,1301,1208,14420,711,11.08,51
151,Dominican Republic,1268,1182,16764,813,13.22,58
152,Swaziland,1239,1126,13071,512,10.55,51
153,Grenada,1150,979,9019,410,7.84,40
154,Greenland,1093,1051,19269,2456,17.63,56
155,Honduras,1093,1042,16318,695,14.93,55
156,French Guiana,1067,1000,19777,1300,18.54,63
157,Afghanistan,991,847,11330,735,11.43,40
158,Ha?ti,892,799,15395,1342,17.26,55
159,Angola,844,804,7049,602,8.35,38
160,Guam,838,770,14177,607,16.92,58
161,Sierra Leone,770,684,9446,846,12.27,40
162,Guinea,739,682,11682,611,15.81,51
163,Martinique,725,662,15839,256,21.85,43
164,Bermuda,680,636,25798,1739,37.94,78
165,Bhutan,664,597,4782,575,7.2,32
166,Reunion,636,592,9160,170,14.4,43
167,Democratic Republic Congo,630,587,10419,275,16.54,49
168,Central African Republic,624,579,8809,469,14.12,44
169,Faroe Islands,600,557,12375,971,20.63,52
170,Guyana,574,523,5933,194,10.34,36
171,Mauritania,544,513,5779,418,10.62,38
172,Seychelles,541,505,11311,804,20.91,52
173,Lesotho,528,487,4485,211,8.49,31
174,Guinea-Bissau,525,481,11386,2259,21.69,54
175,Eritrea,520,496,6411,464,12.33,39
176,Burundi,490,451,4719,250,9.63,35
177,Saint Kitts and Nevis,455,336,2845,135,6.25,25
178,Bahamas,444,406,5710,502,12.86,38
179,Netherlands Antilles,444,404,10101,215,22.75,49
180,Chad,434,412,6821,519,15.72,36
181,Falkland Islands (Malvinas),385,364,5515,808,14.32,36
182,Solomon Islands,382,352,5297,387,13.87,36
183,Vanuatu,371,351,4128,496,11.13,33
184,Liberia,368,306,3547,276,9.64,28
185,Belize,360,326,8390,234,23.31,45
186,Suriname,355,332,3881,268,10.93,32
187,Turkmenistan,327,315,2833,359,8.66,23
188,Dominica,307,271,2821,156,9.19,27
189,Samoa,281,260,3553,178,12.64,30
190,Cayman Islands,260,234,2505,82,9.63,25
191,Cape Verde,238,231,2070,163,8.7,20
192,Maldives,232,214,2448,136,10.55,24
193,San Marino,223,212,2995,102,13.43,26
194,Djibouti,214,201,1572,129,7.35,20
195,Virgin Islands (U.S.),212,202,3621,72,17.08,33
196,Federated States of Micronesia,201,189,3180,158,15.82,27
197,Andorra,201,178,2368,80,11.78,22
198,Equatorial Guinea,179,172,2139,203,11.95,23
199,American Samoa,173,161,2621,104,15.15,24
200,Palau,166,160,2857,167,17.21,30
201,Timor-Leste,155,129,885,67,5.71,16
202,Somalia,136,115,1099,59,8.08,18
203,Antigua and Barbuda,133,119,745,25,5.6,15
204,Virgin Islands (British),130,120,2483,58,19.1,24
205,Gibraltar,125,110,2070,176,16.56,24
206,Tonga,125,120,1989,74,15.91,24
207,Saint Lucia,122,102,2833,12,23.22,20
208,Aruba,120,88,883,10,7.36,14
209,Comoros,117,107,1051,83,8.98,15
210,Montserrat,105,103,2666,272,25.39,29
211,Marshall Islands,88,82,1036,32,11.77,19
212,Northern Mariana Islands,78,76,846,37,10.85,15
213,Mayotte,77,74,511,21,6.64,11
214,Cook Islands,74,70,863,67,11.66,15
215,Saint Vincent and the Grenadines,73,67,780,11,10.68,15
216,Turks and Caicos Islands,56,55,626,33,11.18,15
217,Kiribati,55,51,328,3,5.96,9
218,Sao Tome and Principe,51,49,810,62,15.88,16
219,Anguilla,50,47,349,11,6.98,10
220,United States Minor Outlying Islands,31,30,766,0,24.71,11
221,Vatican City State,31,19,173,5,5.58,7
222,Tuvalu,28,27,394,5,14.07,9
223,Nauru,25,24,219,7,8.76,8
224,Svalbard and Jan Mayen,23,20,326,3,14.17,9
225,British Indian Ocean Territory,22,19,319,0,14.5,8
226,Norfolk Island,22,22,187,0,8.5,9
227,Saint Helena,19,19,145,0,7.63,6
228,Niue,17,14,42,0,2.47,4
229,Wallis and Futuna,15,13,73,4,4.87,5
230,Cocos (Keeling) Islands,14,14,192,0,13.71,5
231,Western Sahara,11,9,27,0,2.45,3
232,Bouvet Island,9,6,37,0,4.11,3
233,South Georgia and the South Sandwich Islands,9,6,53,0,5.89,3
234,Christmas Island,7,7,53,0,7.57,4
235,Saint Pierre and Miquelon,6,4,8,0,1.33,1
236,Tokelau,6,5,45,0,7.5,1
237,French Southern Territories,5,5,110,0,22,5
238,Pitcairn,3,1,7,0,2.33,1
239,Heard Island and McDonald Islands,2,2,8,0,4,1
