,Area,2,3,4,5,6,7,8
0,1000,United States,122709,109843,13873254,6615609,113.06,1200
1,1000,China,81002,80145,744174,336683,9.19,316
2,1000,United Kingdom,28552,24931,2672486,483090,93.60,660
3,1000,India,25404,21753,216800,82945,8.53,165
4,1000,Germany,21356,20177,2085581,386891,97.66,586
5,1000,Japan,16593,16241,1432975,259137,86.36,513
6,1000,France,14602,13849,1350370,196808,92.48,491
7,1000,Canada,10537,9549,1114177,128360,105.74,478
8,1000,Australia,8876,7962,662749,93328,74.67,371
9,1000,Italy,8741,8310,689512,91281,78.88,389
10,1000,Russian Federation,8712,8624,220142,25062,25.27,206
11,1000,Malaysia,8013,7947,34140,11232,4.26,56
12,1000,Switzerland,7885,7390,839286,73950,106.44,423
13,1000,Iran,7729,7699,24073,6414,3.11,49
14,1000,South Korea,7364,7311,246237,25161,33.44,233
15,1000,Spain,6645,6326,455745,51262,68.58,313
16,1000,Netherlands,6455,5959,734247,70826,113.75,408
17,1000,Brazil,6423,6165,160394,33937,24.97,187
18,1000,Sweden,4909,4561,532049,47443,108.38,342
19,1000,Taiwan,3575,3476,102593,8221,28.70,152
20,1000,Israel,3377,3165,356858,28951,105.67,283
21,1000,Belgium,3071,2870,296001,20312,96.39,256
22,1000,Thailand,2985,2966,45881,3805,15.37,88
23,1000,Egypt,2977,2953,14083,2427,4.73,44
24,1000,Denmark,2829,2615,316088,23543,111.73,280
25,1000,Pakistan,2655,2629,17347,1910,6.53,38
26,1000,Austria,2610,2410,245198,15797,93.95,250
27,1000,Turkey,2431,2399,34994,3230,14.39,81
28,1000,Saudi Arabia,2270,2246,35509,2203,15.64,85
29,1000,Bulgaria,2187,2184,12879,2131,5.89,40
30,1000,Singapore,2133,2019,122400,7374,57.38,161
31,1000,Mexico,1967,1878,93622,7603,47.60,140
32,1000,Hong Kong,1966,1907,101365,5640,51.56,138
33,1000,Finland,1784,1699,195838,15490,109.77,215
34,1000,Poland,1697,1636,82535,5683,48.64,140
35,1000,New Zealand,1695,1522,110362,10781,65.11,166
36,1000,South Africa,1670,1494,89898,8879,53.83,155
37,1000,Nigeria,1565,1552,20665,1227,13.20,31
38,1000,Norway,1490,1322,153736,11850,103.18,193
39,1000,Hungary,1317,1269,72011,5044,54.68,134
40,1000,Portugal,1204,1146,73193,3652,60.79,138
41,1000,Czech Republic,1069,1023,56657,4682,53.00,125
42,1000,Argentina,1062,1011,70103,5262,66.01,123
43,1000,Ireland,1046,967,111607,5091,106.70,150
44,1000,Venezuela,984,904,18881,1569,19.19,49
45,1000,Greece,949,904,67832,3416,71.48,115
46,1000,Indonesia,886,864,18795,1771,21.21,66
47,1000,Romania,877,860,7334,854,8.36,40
48,1000,Chile,844,797,55481,4771,65.74,121
49,1000,Kazakhstan,771,768,1790,332,2.32,13
50,1000,Colombia,722,694,17864,964,24.74,62
51,1000,Sri Lanka,685,651,3923,562,5.73,28
52,1000,Bangladesh,602,597,7517,1146,12.49,38
53,1000,Jordan,537,529,3265,298,6.08,20
54,1000,Algeria,527,524,1828,364,3.47,15
55,1000,Slovakia,501,496,12435,968,24.82,49
56,1000,Georgia,484,478,5335,295,11.02,24
57,1000,Ukraine,483,472,8678,679,17.97,46
58,1000,Kenya,463,429,32147,1715,69.43,90
59,1000,Kuwait,437,426,2494,360,5.71,16
60,1000,Iraq,425,422,1350,224,3.18,16
61,1000,Slovenia,362,349,12479,1022,34.47,60
62,1000,Latvia,353,353,4282,172,12.13,16
63,1000,Serbia,322,320,3714,339,11.53,18
64,1000,Tunisia,282,276,2279,331,8.08,17
65,1000,Croatia,268,253,17429,645,65.03,66
66,1000,United Arab Emirates,265,251,7656,224,28.89,36
67,1000,Panama,264,216,29675,1982,112.41,90
68,1000,Puerto Rico,259,240,15419,495,59.53,54
69,1000,Viet Nam,243,236,16091,588,66.22,42
70,1000,Estonia,230,220,23415,1006,101.80,71
71,1000,Morocco,227,226,4442,309,19.57,28
72,1000,Ethiopia,211,201,5989,498,28.38,37
73,1000,Philippines,196,180,20271,837,103.42,49
74,1000,Iceland,186,175,37325,1383,200.67,86
75,1000,Peru,160,147,12279,540,76.74,51
76,1000,Sudan,159,155,1539,95,9.68,11
77,1000,Tanzania,154,139,9862,454,64.04,45
78,1000,Ghana,149,140,5331,159,35.78,26
79,1000,Uruguay,139,127,8932,407,64.26,42
80,1000,Cameroon,137,129,5598,442,40.86,32
81,1000,Cuba,137,131,3181,138,23.22,17
82,1000,Oman,134,127,1993,112,14.87,17
83,1000,Qatar,125,120,3202,153,25.62,22
84,1000,Macao,123,122,2747,47,22.33,19
85,1000,Lithuania,121,120,7306,221,60.38,29
86,1000,Costa Rica,115,102,15034,359,130.73,39
87,1000,C?te d¡¯Ivoire,110,107,1528,114,13.89,16
88,1000,Cyprus,109,105,2977,110,27.31,19
89,1000,Uganda,102,93,5210,142,51.08,26
90,1000,Ecuador,99,81,6893,260,69.63,29
91,1000,Armenia,96,96,5083,227,52.95,25
92,1000,Libya,93,92,742,35,7.98,9
93,1000,Lebanon,93,88,3935,35,42.31,21
94,1000,Palestine,91,89,1118,74,12.29,10
95,1000,Nepal,86,72,2905,162,33.78,16
96,1000,Luxembourg,85,79,4783,158,56.27,22
97,1000,Belarus,84,83,1091,70,12.99,12
98,1000,Azerbaijan,84,84,150,22,1.79,5
99,1000,Syrian Arab Republic,69,68,1795,22,26.01,9
100,1000,Trinidad and Tobago,66,60,1975,72,29.92,9
101,1000,Yemen,64,64,165,18,2.58,7
102,1000,Zimbabwe,61,57,2626,159,43.05,15
103,1000,Brunei Darussalam,56,56,577,40,10.30,8
104,1000,Jamaica,53,49,2696,55,50.87,13
105,1000,Burkina Faso,53,50,2194,198,41.40,21
106,1000,Bolivia,52,48,4218,128,81.12,26
107,1000,Senegal,49,47,2581,70,52.67,18
108,1000,Madagascar,49,46,3561,376,72.67,24
109,1000,Congo,48,43,2999,96,62.48,24
110,1000,Macedonia,47,47,1774,20,37.74,9
111,1000,Malawi,46,44,3807,124,82.76,21
112,1000,Namibia,45,39,3135,126,69.67,22
113,1000,Papua New Guinea,43,41,3312,145,77.02,23
114,1000,Botswana,42,39,1625,31,38.69,8
115,1000,Mali,42,39,3816,176,90.86,28
116,1000,Mongolia,42,38,758,39,18.05,14
117,1000,Benin,41,40,376,28,9.17,8
118,1000,Fiji,41,40,1041,55,25.39,10
119,1000,Gabon,40,36,3971,256,99.28,23
120,1000,New Caledonia,39,35,2710,143,69.49,20
121,1000,Uzbekistan,37,37,1726,20,46.65,7
122,1000,Bahrain,36,34,165,8,4.58,4
123,1000,Cambodia,35,34,2285,183,65.29,19
124,1000,Tajikistan,35,35,314,16,8.97,3
125,1000,Zambia,28,27,1138,73,40.64,13
126,1000,Bosnia and Herzegovina,27,26,356,14,13.19,6
127,1000,Gambia,27,26,3584,80,132.74,19
128,1000,Guam,25,23,588,11,23.52,10
129,1000,Eritrea,25,24,843,27,33.72,5
130,1000,Federated States of Micronesia,24,24,80,34,3.33,4
131,1000,Guatemala,24,20,1752,22,73.00,13
132,1000,Laos,23,16,1036,29,45.04,8
133,1000,French Polynesia,23,21,812,80,35.30,13
134,1000,Moldova,22,21,547,58,24.86,9
135,1000,Mauritius,22,14,721,30,32.77,8
136,1000,Bermuda,22,19,4669,138,212.23,15
137,1000,Albania,21,19,238,0,11.33,4
138,1000,Monaco,21,18,743,51,35.38,12
139,1000,Myanmar,20,20,594,85,29.70,10
140,1000,Niger,19,17,596,27,31.37,9
141,1000,Malta,19,17,601,10,31.63,8
142,1000,North Korea,16,16,22,3,1.38,3
143,1000,Togo,16,16,20,4,1.25,3
144,1000,Barbados,16,14,1151,11,71.94,7
145,1000,Chad,15,13,1203,104,80.20,11
146,1000,Nicaragua,15,8,237,8,15.80,5
147,1000,Greenland,15,15,1780,47,118.67,11
148,1000,Rwanda,15,13,148,12,9.87,6
149,1000,Mozambique,14,14,171,11,12.21,7
150,1000,Kyrgyzstan,14,13,686,51,49.00,5
151,1000,Sierra Leone,13,13,1305,35,100.38,6
152,1000,American Samoa,12,11,692,4,57.67,7
153,1000,Paraguay,12,12,1112,10,92.67,4
154,1000,Virgin Islands (U.S.),12,11,253,4,21.08,6
155,1000,Guinea,11,11,799,21,72.64,8
156,1000,French Guiana,11,11,1279,36,116.27,9
157,1000,Netherlands Antilles,10,10,95,8,9.50,6
158,1000,Guyana,10,9,163,3,16.30,4
159,1000,Dominican Republic,10,9,99,3,9.90,2
160,1000,Seychelles,9,8,1313,13,145.89,6
161,1000,Bhutan,8,8,10,3,1.25,2
162,1000,Belize,8,8,260,1,32.50,4
163,1000,Central African Republic,8,7,346,8,43.25,6
164,1000,Palau,8,7,124,6,15.50,4
165,1000,Liberia,7,5,95,6,13.57,2
166,1000,Swaziland,7,7,30,2,4.29,3
167,1000,Bahamas,7,7,156,9,22.29,5
168,1000,Faroe Islands,7,6,701,41,100.14,6
169,1000,Ha?ti,6,4,478,0,79.67,4
170,1000,Democratic Republic Congo,6,6,68,3,11.33,4
171,1000,Burundi,6,5,14,0,2.33,2
172,1000,Vanuatu,6,6,193,9,32.17,4
173,1000,Gibraltar,6,5,410,39,68.33,4
174,1000,Angola,5,5,108,3,21.60,3
175,1000,Honduras,5,5,854,3,170.80,3
176,1000,Montenegro,5,5,12,0,2.40,2
177,1000,Samoa,5,5,94,5,18.80,4
178,1000,Afghanistan,5,4,2,0,0.40,1
179,1000,Solomon Islands,5,4,42,10,8.40,3
180,1000,Northern Mariana Islands,4,4,30,0,7.50,4
181,1000,Antigua and Barbuda,4,0,0,0,0.00,0
182,1000,Guadeloupe,4,4,243,1,60.75,2
183,1000,Dominica,3,2,1,0,0.33,1
184,1000,Grenada,3,3,124,0,41.33,3
185,1000,Suriname,3,3,288,1,96.00,3
186,1000,Liechtenstein,3,3,20,2,6.67,2
187,1000,Maldives,3,3,259,7,86.33,2
188,1000,El Salvador,3,2,12,0,4.00,2
189,1000,Mauritania,3,2,48,3,16.00,1
190,1000,Anguilla,3,3,2,0,0.67,1
191,1000,Saint Kitts and Nevis,3,2,29,1,9.67,2
192,1000,Lesotho,3,3,65,0,21.67,2
193,1000,Cape Verde,2,2,198,8,99.00,1
194,1000,Guinea-Bissau,2,2,1,0,0.50,1
195,1000,Virgin Islands (British),2,2,291,2,145.50,2
196,1000,Cayman Islands,2,2,10,0,5.00,2
197,1000,Falkland Islands (Malvinas),2,2,22,0,11.00,1
198,1000,Tonga,2,2,71,2,35.50,2
199,1000,Comoros,2,2,4,0,2.00,1
200,1000,Montserrat,2,2,23,2,11.50,1
201,1000,Equatorial Guinea,2,2,106,0,53.00,2
202,1000,Turkmenistan,1,1,294,0,294.00,1
203,1000,Aruba,1,1,11,2,11.00,1
204,1000,Tokelau,1,1,45,0,45.00,1
205,1000,British Indian Ocean Territory,1,1,1,0,1.00,1
206,1000,Martinique,1,1,2,0,2.00,1
207,1000,Somalia,1,1,0,0,0.00,0
208,1000,Saint Helena,1,1,0,0,0.00,0
209,1000,Vatican City State,1,0,0,0,0.00,0
210,1000,Timor-Leste,1,1,1,1,1.00,1
211,1000,San Marino,1,1,23,4,23.00,1
212,1000,Cook Islands,1,1,72,0,72.00,1
213,1000,Kiribati,1,1,0,0,0.00,0
0,1100,United States,716004,697070,17438380,8170312,24.36,639
1,1100,China,269534,266123,2429152,1291830,9.01,230
2,1100,United Kingdom,199542,192535,5353915,1250881,26.83,440
3,1100,Germany,173951,170203,3859065,969056,22.18,375
4,1100,Japan,143804,141732,2294153,602751,15.95,278
5,1100,Canada,137596,134598,3129904,734646,22.75,347
6,1100,France,135643,132916,3172612,751677,23.39,346
7,1100,Brazil,133999,131627,1226705,607002,9.15,200
8,1100,Australia,127464,124405,2692305,789217,21.12,341
9,1100,India,121731,119787,963704,358635,7.92,196
10,1100,Spain,119283,117285,2320903,671730,19.46,288
11,1100,Italy,98428,96003,1628547,429908,16.55,252
12,1100,Netherlands,63531,62152,1672385,278173,26.32,306
13,1100,South Korea,50581,49706,589161,138068,11.65,181
14,1100,Sweden,48182,47302,1210270,200321,25.12,271
15,1100,Russian Federation,45943,45204,352432,89210,7.67,154
16,1100,Poland,44479,43859,416618,122559,9.37,144
17,1100,Switzerland,43713,42579,1196369,175597,27.37,280
18,1100,Mexico,41812,41152,517185,131544,12.37,167
19,1100,Belgium,39703,38938,873861,145862,22.01,231
20,1100,Turkey,39553,39098,380522,106890,9.62,145
21,1100,South Africa,37945,37018,557147,157521,14.68,188
22,1100,New Zealand,37227,36342,789047,158184,21.20,224
23,1100,Argentina,36870,36262,491064,141887,13.32,164
24,1100,Iran,35323,34911,222037,74749,6.29,102
25,1100,Denmark,35315,34709,871229,138726,24.67,232
26,1100,Norway,31010,30393,678096,146761,21.87,203
27,1100,Czech Republic,30563,30016,340656,91630,11.15,141
28,1100,Finland,29974,29363,666562,140848,22.24,214
29,1100,Taiwan,26603,26238,378959,73968,14.24,152
30,1100,Portugal,25862,25379,441660,97620,17.08,163
31,1100,Austria,24589,24070,515488,73081,20.96,202
32,1100,Israel,22146,21666,517260,77055,23.36,204
33,1100,Malaysia,19000,18771,172738,42598,9.09,116
34,1100,Thailand,18669,18464,218355,44289,11.70,125
35,1100,Greece,18474,18170,323565,56064,17.51,154
36,1100,Pakistan,18337,18194,130956,42204,7.14,92
37,1100,Chile,18038,17699,228598,59629,12.67,126
38,1100,Hungary,16498,16133,205098,36986,12.43,142
39,1100,Nigeria,15470,15380,100973,23599,6.53,79
40,1100,Ireland,14800,14509,318409,49246,21.51,164
41,1100,Egypt,14742,14574,134604,22123,9.13,98
42,1100,Colombia,11345,11047,104333,18217,9.20,107
